word,definition
base,"(adj) morally low, mean, dishonorable; of little or no value; crude and unrefined; counterfeit"
belie,(v) contradict or misrepresent
benign,"(adj) harmless; favorable; kindly, gentle, or beneficial; not cancerous"
bogus,"(adj) fake, fraudulent"
bolster,(v) strengthen or support
boor,"(n) rude, ill-mannered, or insensitive person; a peasant or country bumpkin"
buffer,"(n) something that shields, protects, absorbs shock, or cushions"
bureaucracy,"(n) government characterized by many bureaus and petty administrators or by excessive, seemingly meaningless requirements"
burgeon,(v) grow or flourish rapidly; put forth buds or shoots (of a plant)
buttress,"(v, n) support or encourage (verb); a support or prop, esp. projecting from and supporting the wall of a building (noun)"
bygone,"(adj, n) past, former (adj); that which is in the past (usually plural noun)"
cacophony,"(n) harsh, discordant, or meaningless mixture of sounds"
candid,"(adj) open, sincere, honest"
canonical,"(adj) authorized, recognized; pertaining to the canon, or body of accepted rules, standards or artistic works"
capricious,"(adj) acting on impulse, erratic"
cartography,(n) mapmaking
castigate,(v) criticize severely; punish in order to correct
catalyze,(n) causer of change
caustic,(adj) capable of corroding metal or burning the skin; very critical or sarcastic
censure,"(n, v) strong disapproval or official reprimand (noun); to issue such disapproval or reprimand (verb)"
chauvinism,"(n) fanatical patriotism or blind enthusiasm for military glory; undue or biased devotion to any group, cause, etc."
chronological,(adj) arranged in or relating to time order
clamor,"(v) noisy uproar or protest, as from a crowd; a loud, continuous noise"
clinch,(v) make final or settle conclusively; to fasten or hold together
coalesce,"(v) come together, unite; fuse together"
cogent,"(adj) very convincing, logical"
commensurate,"(adj) the same in size, extent, etc., equivalent; proportional"
complacent,"(adj) self-satisfied, smug; overly content (and therefore lazy, neglectful, or some other bad quality)"
complementary,(adj) completing; fitting together well; filling mutual needs
compliant,"(adj) obeying, submissive; following the requirements"
concede,"(v) give in, admit, yield; acknowledge reluctantly; grant or give up (such as giving up land after losing a war)"
conciliatory,"(adj) reconciling, appeasing, attempting to make the peace"
concur,"(v) approve, agree"
condone,"(v) overlook, tolerate, regard as harmless"
confer,"(v) consult, compare views; bestow or give"
connoisseur,"(n) expert, especially in the fine arts; person of educated, refined tastes"
console,"(v, n) lessen the suffering or grief of (verb); a control panel, or small table or cabinet (noun)"
consolidate,"(v) unite, combine, solidify, make coherent"
constrict,"(v) squeeze, compress; restrict the freedom of"
construe,(v) interpret or translate
contentious,"(adj) controversial; prone to causing arguments, especially gratuitous or petty ones"
contextualize,"(v) place in context, such as by giving the background or circumstances"
conundrum,"(n) riddle, the answer to which involves a play on words; any mystery"
converge,(v) move towards one another or towards a point; unite
conversant,(adj) knowledgeable about or experienced with
conversely,(adv) in an opposite way; on the other hand
convoluted,(adj) twisted; very complicated
copious,"(adj) plentiful, bountiful"
corroborate,"(v) support, add evidence to"
cosmopolitan,"(adj) belonging to the entire world, at home globally; free from local or national prejudices or attachments"
countenance,"(n, v) facial expression or face (noun); approve or tolerate (verb)"
counterintuitive,(adj) against what one would intuitively expect
counterpoint,"(n) contrasting item, opposite; a complement; the use of contrast or interplay in a work of art"
counterproductive,(adj) defeating the purpose; preventing the intended goal
covert,"(adj) secret, veiled, undercover"
crafty,"(adj) cunning, skillful in deception or underhanded schemes"
craven,"(adj) very cowardly, lacking courage"
credibility,"(n) believability, trustworthiness"
credulous,(adj) gullible; prone to believing or trusting too easily or without enough evidence
crescendo,"(n) steady increase in force, intensity, or the loudness of a musical passage; a climactic moment or peak"
culminate,(v) reach the highest point or final stage
cynical,(adj) thinking the worst of others' motivations; bitterly pessimistic
daunt,"(v) discourage, dishearten, lessen the courage of"
debase,"(v) degrade; lower in quality, value, rank, etc.; lower in moral quality"
debunk,"(v) expose, ridicule, or disprove false or exaggerated claims"
decorous,(adj) behaving with propriety and good taste; polite
deem,(v) judge; consider
deface,"(v) vandalize, mar the appearance of"
default,"(n, v) failure to act, neglect (noun); fail to fulfill an obligation, esp. a financial one (verb)"
deference,(n) respectful submission; yielding to the authority or opinion of another
deflect,"(v) cause to curve; turn aside, esp. from a straight course; avoid"
deleterious,"(adj) harmful, unhealthy"
delineate,(v) mark the outline of; sketch; describe in detail
denigrate,"(v) belittle, attack the reputation of"
denote,(v) be a name or symbol for
deride,"(v) mock, scoff at, laugh at contemptuously"
derivative,(adj) derived from something else; not original
desiccate,"(v) thoroughly dried up, dehydrated"
detached,"(adj) impartial, disinterested; unconcerned, distant, aloof"
deterrent,(n) something that restrains or discourages
diatribe,"(n) bitter, abusive attack or criticism; rant"
didactic,"(adj) intended to instruct; teaching, or teaching a moral lesson"
digress,(v) go off-topic when speaking or writing
din,"(n) loud, confused noise, esp. for a long period of time"
disabuse,(v) free someone from a mistake in thinking
discerning,(adj) having good judgment or insight; able to distinguish mentally
discredit,"(v) injure the reputation of, destroy credibility of or confidence in"
discrepancy,(n) difference or inconsistency
discriminating,"(adj) judicious, discerning, having good judgment or insight"
disingenuous,"(adj) insincere, not genuine"
disinterested,"(adj) unbiased, impartial; not interested"
disjointed,"(adj) disconnected, not coherent, jerky; having the joints separated"
dismiss,"(v) allow to disperse or leave; fire from a job; put aside or reject, esp. after only a brief consideration"
dispassionate,"(adj) unbiased, not having a selfish or personal motivation; calm, lacking emotion"
dispatch,"(n, v) speed, promptness; send off or deal with in a speedy way"
disperse,"(v) scatter, spread widely, cause to vanish"
disposition,(n) a person's general or natural mood; tendency
disquieting,"(adj) disturbing, causing anxiety"
disseminate,"(v) scatter, spread about, broadcast"
dissent,"(v, n) disagree or take an opposing view, esp. in relation to a formal body such as a government, political party, or church; such a view"
dissonance,"(n) harsh, inharmonious sound; cacophony; disagreement"
distill,(v) purify; extract the essential elements of
diverge,"(v) differ, deviate; branch off or turn aside, as from a path"
divest,"(v) deprive or strip of rank, title, etc., or of clothing or gear; to sell off holdings (opposite of invest)"
divine,(v) discover through divination or supernatural means; perceive by insight
document,"(v) support with evidence, cite sources in a detailed way, create documentary evidence of"
dogma,(n) a system of principles laid down by an authority; established belief
dormant,"(adj) asleep, inactive, on a break"
dubious,"(adj) doubtful, questionable, suspect"
eccentric,"(adj) peculiar, odd, deviating from the norm esp. in a whimsical way"
eclectic,(adj) selecting the best of everything or from many diverse sources
eclipse,"(n, v) the obscuring of one thing by another, such as the sun by the moon or a person by a more famous or talented person (noun); to obscure, darken, make less important (verb)"
efficacy,(n) the quality of being able to produce the intended effect
egalitarian,"(adj) related to the belief in the equality of all people, esp. in political, economic, or social spheres"
egregious,(adj) extraordinarily or conspicuously bad; glaring
elated,"(adj) very happy, in high spirits"
elevate,"(v) raise, lift up; lift the spirits of; move up to a higher rank or status or raise up to a higher spiritual or intellectual plane"
elicit,"(v) call forth, bring out, evoke"
eloquent,"(adj) marked by forceful, fluid, apt speech; expressive, emotionally moving"
embellish,"(v) decorate, add ornamentation; enhance (a story) with fictional or fanciful details"
eminent,"(adj) prominent, distinguished, of high rank"
empirical,"(adj) coming from, based on, or able to be verified by experience or experimentation; not purely based on theory"
emulate,(v) copy in an attempt to equal or be better than
enervate,"(v) weaken, tire"
enhance,"(v) raise to a higher value, desirability, etc."
enigma,"(n) puzzle, mystery, riddle; mysterious or contradictory person"
entitlement,"(n) having the right to certain privileges; believing, sometimes without cause, that one deserves or has a right to certain privileges"
enumerate,(v) count or list; specify one-by-one
ephemeral,"(adj) lasting only a short time, fleeting"
equitable,"(adj) fair, equal, just"
erratic,"(adj) inconsistent, wandering, having no fixed course"
erroneous,"(adj) mistaken, in error; improper, morally incorrect"
erudite,"(adj) scholarly, knowledgeable; possessing a deep, often systematic, knowledge"
eschew,"(v) shun, avoid, abstain from"
esoteric,(adj) understood by or intended for only a few; secret
estimable,"(adj) worthy of esteem, admirable; able to be estimated"
eulogy,"(n) speech of praise or written work of praise, esp. a speech given at a funeral"
exacerbate,"(v) make worse (more violent, severe, etc.), inflame; irritate or embitter (a person)"
exacting,(adj) very severe in making demands; requiring precise attention
exculpate,(v) clear from guilt or blame
exhaustive,"(adj) comprehensive, thorough, exhausting a topic or subject, accounting for all possibilities; draining, tending to exhaust"
explicit,"(adj) direct, clear, fully revealed; clearly depicting sex or nudity"
exponent,"(n) person who expounds or explains; champion, advocate, or representative"
extraneous,"(adj) irrelevant; foreign, coming from without, not belonging"
extrapolate,(v) conjecture about an unknown by projecting information about something known; predict by projecting past experience
facetious,"(adj) joking, humorous, esp. inappropriately; not serious, concerned with frivolous things"
facilitate,"(v) make easier, help the progress of"
fallacious,"(ad) containing a fallacy, or mistake in logic; logically unsound; deceptive"
fanatical,"(adj) excessively devoted, enthusiastic, or zealous in an uncritical way"
fanciful,"(adj) whimsical, capricious; imaginary; freely imaginative rather than based on reason or reality"
fathom,"(v) measure the depth of (usually of water) as with a sounding line; penetrate and discover the meaning of, understand"
feasible,(adj) possible; logical or likely; suitable
fidelity,"(n) faithful, loyalty; strict observance of duty; accuracy in reproducing a sound or image"
figurative,"(adj) metaphorical, based on figures of speech; containing many figures of speech (as fancy-sounding writing); related to portraying human or animals figures"
finesse,"(n, v) extreme delicacy, subtlety, or diplomacy in handling a sensitive situation or in a performance or skill (noun); use tact or diplomacy; employ a deceptive strategy (verb)"
flag,"(v) get tired, lose enthusiasm; hang limply or droop"
fleeting,"(adj) passing quickly, transitory"
foment,"(v) incite, instigate, stir up, promote the growth of; apply medicated liquid to a body part"
foreshadow,"(v) indicate or suggest beforehand, presage"
forfeit,"(v) surrender or lose as a result of an error, crime, or failure to fulfill an obligation"
fortify,"(v) strengthen, invigorate, encourage"
fringe,"(n, adj) on the margin, periphery (adj); the people in a group who hold the most extreme views (noun)"
frugal,"(adj) economically, thrifty, not wasteful with money; inexpensive"
futile,"(adj) producing no useful result, ineffective; trivial unimportant"
gainsay,"(v) declare false, deny; oppose"
garrulous,"(adj) talkative, wordy, rambling"
gauche,"(adj) tactless, lacking social grace, awkward, crude"
gawky,"(adj) physically awkward (esp. of a tall, skinny person, often used to describe teenagers)"
germane,"(adj) relevant and appropriate, on topic"
gist,"(n) main idea, essence"
glib,(adj) fluent and easy in a way that suggests superficiality or insincerity
goosebumps,"(n) the bumps created by hairs standing up on the skin in response to cold, fear, etc."
gradation,"(n) a progression, a process taking place gradually, in stages; one of these stages"
gregarious,"(adj) sociable, pertaining to a flock or crowd"
guile,"(n) clever deceit, cunning, craftiness"
hackneyed,(adj) so commonplace as to be stale; not fresh or original
hardy,"(adj) bold, brave, capable of enduring hardship, fatigue, cold, etc."
haven,"(adj) harbor or port; refuge, safe place"
hearken,"(v) listen, pay attention to"
hedonist,(n) person devoted to pleasure
heterogeneous,"(adj) different in type, incongruous; composed of different types of elements"
hierarchy,"(n) a ranked series; a classification of people according to rank, ability, etc.; a ruling body"
hodgepodge,"(n) mixture of different kinds of things, jumble"
homogeneous,(adj) of the same kind; uniform throughout
hyperbole,(n) deliberate exaggeration for effect
idiosyncrasy,"(n) characteristic or habit peculiar to an individual; peculiar quality, quirk"
illiberality,"(n) narrow-mindedness, bigotry; strictness or lack of generosity"
imminent,"(adj) ready to occur, impending"
impair,"(v) make worse, weaken"
impartial,"(adj) unbiased, fair"
impede,"(v) hold back, obstruct the progress of"
implication,"(n) act of implying or that which is implied; close connection, esp. in an incriminating way"
implicit,"(adj) implied, not stated directly; involved in the very essence of something, unquestionable"
implode,(v) burst inward
inadvertent,"(adj) unintentional; characterized by a lack of attention, careless"
inasmuch,"(adv) in like manner, considering that (contradiction of ""in as much,"" generally followed by ""as"")"
incendiary,"(adj) setting on fire, pertaining to arson; arousing strife, rebellion, etc.; ""inflaming"" the senses"
incentive,"(n) something that encourages greater action or effort, such as a reward"
inchoate,"(adj) just begun, undeveloped, unorganized"
incipient,(adj) just beginning; in a very early stage
incongruous,"(adj) out of place, inappropriate, not harmonious"
inconsequential,"(adj) insignificant, unimportant; illogical"
incorporate,"(v) combine, unite; form a legal corporation; embody, give physical form to"
indeterminate,"(adj) not fixed or determined, indefinite; vague"
indifferent,"(adj) not caring, having no interest; unbiased, impartial"
inform,"(v) inspire, animate; give substance, essence, or context to; be the characteristic quality of"
ingenuous,"(adj) genuine, sincere, not holding back; naive"
ingrained,"(adj) deep-rooted, forming part of the very essence; worked into the fiber"
inherent,"(adj) existing as a permanent, essential quality; intrinsic"
innocuous,"(adj) harmless, inoffensive"
intelligible,"(adj) able to understood, clear"
intractable,"(adj) difficult to control, manage, or manipulate; hard to cure; stubborn"
intrepid,"(adj) fearless, brave, enduring in the face of adversity"
intrinsic,(adj) belonging to the essential nature of a thing
jargon,(n) vocabulary specific to a group or occupation; convoluted or unintelligible language
jocular,"(adj) joking or given to joking all the time; jolly, playful"
judicious,"(adj) using good judgment; wise, sensible"
juncture,"(n) critical point in time, such as a crisis or a time when a decision is necessary; a place where two things are joined together"
keen,"(adj) sharp, piercing; very perceptive or mentally sharp; intense (of a feeling)"
kudos,"(n) praise, honor, congratulations"
lackluster,"(adj) not shiny; dull, mediocre, lacking brilliance or vitality"
laconic,"(adj) using few words, concise"
lament,"(v, n) mourn; express grief, sorrow, or regret (verb); an expression of grief, esp. as a song or poem (noun)"
lampoon,"(n, v) a harsh satire (noun); ridicule or satirize (verb)"
landmark,"(n, adj) object (such as a building) that stands out and can be used to navigate by; very important place, event, etc."
languid,"(adj) drooping from exhaustion, sluggish, slow; lacking in spirit"
lassitude,"(n) tiredness, weariness; lazy indifference"
laudable,(adj) worthy of praise
lavish,"(adj, v) abundant or giving in abundance; marked by excess (adj); give very generously (verb)"
layperson,"(n) a person who is not a member of the clergy or not a member of a particular profession (such as medicine, law, etc.)"
levity,"(n) lightness (of mind, spirit, or mood) or lack of seriousness, sometimes in an inappropriate way"
levy,"(v, n) collect tax from, wage war on, or enlist for military service (verb); act of collecting tax or amount owed, or the drafting of troops into military service (noun)"
liberal,"(adj, n) favorable to progress or reform; believing in maximum possible individual freedom; tolerant, open-minded; generous (adj); a person with such beliefs or practices (noun)"
libertine,(n) morally or sexually unrestrained person; freethinker (regarding religion)
likewise,"(adv) also, in addition to; similarly, in the same way"
log,"(v, n) keep a record of, write down; travel for or at a certain distance or speed (verb); a written record (noun)"
loquacious,"(adj) talkative, wordy"
lucid,"(adj) clear, easy to understand; rational, sane"
lull,"(n, v) soothe or cause to fall asleep (as in a lullaby); quiet down; make to feel secure, sometimes falsely (verb); a period of calm or quiet (noun)"
makeshift,"(n, adj) a temporary, often improvised, substitute (noun); improvised for temporary use (adj)"
malleable,"(adj) able to be bent, shaped, or adapted"
maverick,"(n) rebel, individualist, dissenter"
mendacious,"(adj) lying, habitually dishonest"
mercurial,"(adj) quickly unpredictably changing moods; fickle, flighty"
metamorphosis,"(n) a complete change or transformer (in biology, a change such as a caterpillar becoming a pupa and then a butterfly)"
meticulous,"(adj) taking extreme care in regards to details; precise, fussy"
mitigate,"(v) make less severe; lessen or moderate (damage, grief, pain, etc.)"
modest,"(adj) humble; simple rather than showy; decent (esp. ""covering up"" in terms of dress); small, limited"
mollify,(v) calm or soothe (an angry person); lessen or soften
monotony,"(n) sameness or repetitiousness to the point of being boring; lack of variation, uniformity, esp. repetition in sound"
moreover,(adv) besides; in addition to what was just stated
mores,"(n) customs, manners, or morals of a particular group"
mundane,"(adj) common, ordinary, everyday"
naive,"(adj) simple and unsophisticated, unsuspecting, lacking worldly experience and critical judgment"
nascent,"(adj) coming into existence, still developing"
negate,(v) deny or refute; make void or cause to be ineffective
net,"(adj, v) remaining after expenses or other factors have been deducted; ultimate (adj); to bring in as profit or to catch as in a net (verb)"
nevertheless/nonetheless,"(adv) however, even so, despite that"
notoriety,(n) ill fame; the state of being well-known for a disgraceful reason
novel,"(adj) new, fresh, original"
nuance,"(n) a subtle difference in tone, meaning, and expression"
objective,"(adj) factual, related to reality or physical objects; not influenced by emotions, unbiased"
obsequious,"(adj) servile, very compliant, fawning"
obsolete,"(adj) out of date, no longer in use"
obstinate,(adj) stubborn or hard to control
obviate,"(v) prevent, eliminate, or make unnecessary"
occult,"(n, adj, v) the supernatural (noun); pertaining to magic, astrology, etc.; mysterious, secret or hidden (adj); to hide, to shut off from view"
offhand,"(adj) casual, informal; done without preparation or forethought; rude in a short way, brusque"
officious,"(adj) excessively eager in giving unwanted advice or intruding where one is not wanted; meddlesome, pushy"
offset,"(v, n) counteract, compensate for (verb); a counterbalance (noun)"
onerous,"(adj) burdensome, oppressive, hard to endure"
opaque,"(adj) not translucent; not allowing light, hear, etc. to pass through; dark, dull, unclear or stupid"
optimal/optimum,"(adj) best, most desirable or favorable"
orthodox,"(adj) adhering to a traditional, established faith, or to anything customary or commonly accepted"
oscillate,"(v) swing back and forth; waver, change one's mind"
outstrip,"(v) surpass, exceed; be larger or better than; leave behind"
overshadow,"(v) cast a shadow over, darken; dominate, make to seem less important"
paradigm,"(n) model or pattern; worldview, set of shared assumptions, values, etc."
paradox,"(n) contradiction, or seeming contradiction that is actually true"
pariah,"(n) social outcast, untouchable"
partial,"(adj) biased, prejudiced, favoring one over the others; having a special liking for something or someone (usually partial to)"
partisan,"(adj, n) devoted to a particular group, cause, etc. (adj); fervent supporter of a group, party, idea, etc.; guerilla fighter (noun)"
patent,"(adj, n) obvious, apparent, plain to see (adj); a letter from the government guaranteeing an inventor rights to his or her invention (noun)"
pathological,(adj) relating to or caused by disease; relating to compulsive bad behavior
patronizing,"(adj) condescending, having a superior manner, treating as an inferior"
paucity,"(n) scarcity, the state of being small in number"
peccadillo,(n) small sin or fault
pedestrian,"(adj) ordinary, dull, commonplace"
penchant,(n) liking or inclination
perfidious,"(adj) disloyal, treacherous, violating one's trust"
peripheral,(adj) relating to or making up an outer boundary or region; not of primary importance
permeate,(v) spread or penetrate throughout
pervasive,(adj) tending to spread throughout
philanthropy,"(n) efforts to improve the well-being of humankind, generally through giving money"
phony,"(adj) fake, counterfeit; insincere, not genuine"
pious,(adj) devout; religiously reverent and dutiful
pith,"(n) core, essence; significance or weight"
placate,"(v) satisfy or calm down (angry or dissatisfied person), esp. by conciliatory gestures"
placid,"(adj) peaceful, calm, tranquil"
plastic,(adj) able to be shaped or formed; easily influenced
plausible,(n) believable; having the appearance of truth
plummet,"(v) plunge, fall straight down"
polarized,(adj) divided into sharply opposed groups
ponderous,"(adj) heavy; bulky and unwieldy; dull, labored"
posthumous,(adj) happening or continuing after death
potentate,"(n) ruler, person of great power"
pragmatic,(adj) practical; dealing with actual facts and reality
pre-empt,"(v) prevent; take the place of, supplant; take before someone else can"
preamble,"(n) introductory statement, preface"
precarious,"(adj) unstable, insecure, dangerous"
precursor,"(n) something that comes before, esp. something that also announces or suggests something on its way"
predisposed,(adj) having an inclination or tendency beforehand; susceptible
presumptive,(adj) based on inference or assumption; providing reasonable grounds for belief
presumptuous,(adj) too bold or forward; going beyond that which is proper
pretentious,"(adj) claiming or demanding a position of importance or dignity, esp. when unjustified; showing off creating deceptive, false show of worth"
principled,(adj) having high moral standards
pristine,"(adj) in an original, pure state; uncorrupted"
probity,"(n) honesty, integrity"
prodigal,"(adj) wasteful, extravagant; giving abundantly, lavish"
prodigious,"(adj) extraordinarily large, impressive, etc."
profligate,"(adj) completely and shamelessly immoral, or extremely wasteful"
profound,"(adj) very insightful, penetrating deeply into a subject; pervasive intense, ""down to the very bottom;"" at the very bottom"
profuse,"(adj) abundant, extravagant, giving or given freely"
prohibitive,"(adj) tending to forbid something, or serving to prevent something"
proliferate,(v) increase or spread rapidly or excessively
prologue,"(n) introductory part to a book, play, etc."
pronounced,"(adj) distinct, strong, clearly indicated"
propriety,(n) conforming to good manners or appropriate behavior; justness
prosaic,"(adj) dull, ordinary"
proscribe,"(v) prohibit, outlaw; denounce; exile or banish"
prospective,"(adj) potential, in the future"
prudent,"(adj) wise in practical matters, carefully providing for the future"
pugnacious,"(adj) inclined to fight, combative"
qualified,"(adj) modified, limited, conditional on something else"
quandary,"(n) uncertainty or confusion about what to do, dilemma"
quibble,"(v) make trivial arguments or criticisms, find faults in a petty way, esp. to evade something more important"
quotidian,"(adj) daily; everyday, ordinary"
ranks,(n) personnel; a group of people considered all together
reap,"(v) harvest, such as by cutting; gather; get as a result of one's effort"
recluse,(n) person who lives in seclusion
refute,(v) prove to be false
relegate,"(v) send or commit to an inferior place, rank, condition, etc.; exile, banish; assign (a task) to someone else"
remedial,"(adj) providing a remedy, curative; correcting a deficient skill"
render,"(v) give, submit, surrender; translate; declare formally; cause to become"
replete,"(adj) supplied in abundance, filled, gorged (used with with)"
reproach,"(n, v) blame, disgrace (noun); criticize, express disappointment in (verb)"
repudiate,"(v) reject, cast off, deny that something has authority"
requite,"(v) reciprocate, repay, or revenge"
rescind,"(v) annul, repeal, make void"
resolution,"(n) the quality of being firmly determined; resolving to do something; a formal judgment, esp. decided by a vote"
resolve,"(v, n) find a solution to; firmly decide to do something; decide by formal vote (verb); firmness of purpose (noun)"
respectively,(adv) in the order given
restive,(adj) impatient or uneasy under the control of another; resisting being controlled
reticent,"(adj) not talking much; private (of a person), restrained, reserved"
retrospective,"(adj, n) looking to the past or backward; applying to the past, retroactive (adj); an art exhibit of an artist's work over a long period of time (n)"
reverent,(adj) feeling or expressing very deep respect and awe
rhetoric,"(n) the art or study of persuasion through speaking or writing; language that is elaborate or pretentious but actually empty, meaning little"
rife,"(adj) happening frequently, abundant, currently being reported"
rudimentary,"(adj) elementary, relating to the basics; undeveloped, primitive"
rustic,"(adj, n) relating to country life, unsophisticated; primitive; made of rough wood (adj); a rural or uncultured person (noun)"
sacrosanct,"(adj) sacred, inviolable, not to be trespassed on or violated; above any criticism"
sagacious,(adj) wise; showing good judgment and foresight
salubrious,"(adj) healthful, promoting health"
sanction,"(n, v) permission or approval, something that gives support or authority to something else (noun); to allow, confirm, ratify (verb); OR a legal action against another country to get it to comply (noun); to place sanctions or penalties on (verb)"
sanguine,"(adj) cheerfully optimistic, hopeful; reddish, ruddy (as in rosy-red cheeks indicating health or vitality)"
sap,"(n, v) the inner fluid of a plant or any essential body fluid; energy, vitality; a person taken advantage of (noun); undermine, weaken, tire out (verb)"
satiate or sate,"(v) to fully satisfy; to go beyond satisfying to the point of excess (possibly inducing disgust, tiredness, etc.)"
saturate,(v) soak or imbue thoroughly; cause a substance to unite with the greatest possible amount of another substance
savor,"(v) appreciate fully, taste or smell with pleasure"
scant,(adj) not enough or barely enough
scathing,"(adj) severe, injurious; bitterly harsh or critical (as a remark)"
secular,(adj) not religious or holy; pertaining to worldly things
sedulous,"(adj) persevering, persistent, diligent in one's efforts"
sentient,(adj) conscious; experiencing sensation or perceiving with the senses
simultaneous,(adj) at the same time
skeptic,(adj) person inclined to doubting or questioning generally accepted beliefs
skirt,"(v) border, lie along the edge of , go around; evade"
slack,"(adj, v, n) loose, negligent, lazy, weak (adj); neglect to so one's duties; loosen up, relax (verb); period of little work (noun)"
slew,(n) a large number or quantity
slight,"(adj, v, n) small, not very important, slender or delicate (adj); treat as though not very important; snub, ignore (verb); an act of treating in this way, a discourtesy (noun)"
solicitous,"(adj) concerned or anxious (about another person), expressing care; eager or desirous; very careful"
soporific,"(adj, n) causing sleep; sleepy, drowsy (adj); something that causes sleep (noun)"
sound,"(v) measure the depth of (usually water) as with a sounding line; penetrate and discover the meaning of, understand (usually as sound the depths)"
spartan,"(adj) very disciplined and stern; frugal, living simply, austere; suggestive of the ancient Spartans"
spate,(n) sudden outpouring or rush; flood
spearhead,(v) be the leader of
specious,(adj) seemingly true but actually false; deceptively attractive
spectrum,"(n) a broad range of nevertheless related qualities or ideas, esp. those that overlap to create a continuous series (as in a color spectrum, where each color blends into the next in a continuous way)"
speculate,"(v) contemplate; make a guess or educated guess about; engage in a risky business transaction, gamble"
sporadic,"(adj) occasional, happening irregularly or in scattered locations"
sportive,"(adj) playful, merry, joking around, done ""in sport"" (rather than intended seriously)"
standing,"(n, adj) status, rank, reputation (noun); existing indefinitely, not movable (adj)"
stark,"(adj) complete, total, utter; harsh or grim; extremely simple, severe, blunt, or plain"
static,"(adj) fixed, not moving or changing, lacking vitality"
status quo,(n) existing state or condition
stingy,"(adj) not generous with money, reluctant to spend or give"
stoic or stoical,"(adj, n) indifferent to pleasure or pain, enduring without complaint (adj); person indifferent to pleasure or pain (noun)"
stolid,"(adj) unemotional, showing little emotion, not easily moved"
stymie or stymy,"(v, n) block, hinder, or thwart (verb); an obstacle (noun)"
subjective,"(adj) existing in the mind or relating to one's own thoughts, opinions, emotions, etc.; personal, individual, based on feelings"
subside,"(v) sink, settle down, become less active; return to a normal level"
substantiate,(v) support with evidence or proof; give a material existence to
succeeding,(adj) coming after or following
supersede,"(v) replace, take the position of, cause to be disregarded as void or obsolete"
supplicate,"(v) pray humbly; ask, beg, or seek in a humble way"
surfeit,"(n) excess, excessive amount, overindulgence"
surmise,"(v) guess, infer, think, or make an opinion with incomplete information"
sycophant,"(n) servile flatterer, parasitic person, one who fawns in order to get ahead"
synchronous,(adj) happening at the same time; occurring at the same rate and thus happening together repeatedly
table,"(v) lay aside to discuss later, often as a way to postpone discussion indefinitely"
