word,meaning,s1,s2,s3,s4,s5
pecuniary,relating to or involving money.,jason has such a poor pecuniary history he cannot get a bank loan.,the politician says his budget proposal will help eliminate the pecuniary inequality between the poor and the rich by increasing the taxes paid by those in the higher income bracket.,"when the stock market crashed, the millionaire’s pecuniary status changed dramatically and ended with him in a state of poverty.","because of the young woman’s pecuniary needs, she is determined to marry a wealthy man.","since we are not receiving any type of pecuniary benefits from our restaurant, we have decided to close its doors."
imponderable,impossible to estimate or figure out.,she wanted to enter the contest but guessing the amount of jelly beans in the barrel was imponderable.,i focused on the imponderable math problem for several hours before i realized that it was unsolvable.,"imponderable at best, the word problem confused even the gifted students.","asking an imponderable question, the game show host was sure that he had stumped the contestant.","gazing up at the sky, anita started to ask her brother how many stars there are but knew the answer was imponderable."
exemplify,be characteristic of.,students expect their teachers to exemplify good behavior at all times.,"when james chooses his assistant manager, he will select the employee who can most exemplify the core values of the company.",the high school dropouts exemplify what is wrong with today’s public school system.,"if the data does not exemplify what is wrong with the software program, we will have to start from scratch by writing new code.",the citizenship trophies are presented to exemplify the best examples of good citizenship among the student body.
indolent,disinclined to work or exertion,jackson lost his job because he was an indolent employee who did nothing but sleep at his desk all day.,"because i enjoy being indolent, there is nothing i find more pleasant than relaxing in bed.",my indolent daughter waited until the last possible day to start her lengthy research paper.,"although hank can be indolent on his days off, he always gives one hundred percent at work.",the fact aileen never got up before noon told everyone she was an indolent person.
amorphous,shapeless.,"because the painting was amorphous, i had no idea what it represented.",the political candidate hoped voters would not realize his budget proposal had no substance and was merely amorphous.,"under the microscope, the unknown virus appeared to be amorphous.",it is impossible to see a shape in the large amorphous cloud floating above our house.,"while your business idea sounds good, your proposal is too amorphous to define your purpose."
counterpoint,"(n) contrasting item, opposite; a complement; the use of contrast or interplay in a work of art","my father is a strict military man, but my sweet and giving mother is the perfect counterpoint.",the musician has studied counterpoint for so long that combining a second melody with the main one comes second nature.,"the counterpoint to his uptight boss, aaron’s laidback attitude helped the office environment feel less intimidating.",most searched words (with,
inured,made tough by habitual exposure,"people in northern regions are inured to the cold weather, and some will even jump into freezing water on occasion.","as layoffs in the company continued, the workers became inured to anxiety and waited passively for the axe to fall.","ever since melissa lost her mother when she was a child, she has been inured to hardship.",many people claim that the crime rate among young people has risen because video games have inured them to violence.,too many students drop out of school because they have become inured to failure.
tractable,readily reacting to suggestions and influences; easily managed (controlled or taught or molded).,the dog was more tractable when he wore the vibrating collar.,"if the project becomes too large, it will no longer be tractable by a single manager.",the lab technicians will have no problem conducting the tractable experiments.,"when the design is finished, a visually impaired person will be able to use the tractable remote control.",the rental car company uses tractable vehicles that can automatically be turned off if they are not returned on time.
mettlesome,filled with courage or valor.,my brother is a mettlesome boy whose free-spirit always leads him to some type of adventure.,"because of her mettlesome nature, the princess always found her in a situation that would test her bravery.",the mettlesome young couple was brave enough to stand up for their love even if it meant leaving their families.,"staring at the mettlesome little pup, the owner couldn’t believe that his dog had been brave enough to rescue him from a fire.",robin hood was a mettlesome young man who was brave and spirited enough to take from the rich and give to the poor.
propitious,"presenting favorable circumstances; likely to result in or show signs of success The child's heartbeat is still weak, but I am seeing many propitious signs and I think that she may be healing.",the beautiful hawaiian weather made it propitious for sun bathing yesterday.,"when the butterfly landed on her shoulder, alicia took it as a propitious sign she would have a fantastic day.","because her boss was having a great week, sharon believed it was a propitious time to inquire about a salary increase.","after my parents turned their attention to my younger sister, i knew it was a propitious time for me to sneak out of the room.",the wrestler waited for a propitious moment to attack his opponent.
constraint,something that limits or restricts.,jordan felt the constraint of handcuffs pressing tightly around his wrists.,our national debt places a constraint on our economy’s ability to grow.,"traffic makes me late to work, placing a constraint on my time.",we protested the constraint on freedom imposed by the communists.,i am under a time constraint due to my heavy workload.
quixotic,wildly idealistic; impractical.,"although jack’s plan for killing the giant was quixotic, it was the village’s only hope.","henry knew running for class president was a quixotic idea, but he was not going to let his enemy run unopposed.",it is quixotic to think you can get away with walking into the prison and breaking out your boyfriend.,"while the knight’s quest sounded noble, in reality it was a quixotic plot which could only end in the young man’s death.",the idea of an obese person participating in a triathlon is a quixotic notion.
myriad,a large indefinite number.,"if you are going to new york city for your vacation, you will find myriad attractions you can visit.","in las vegas, it seems as if there are myriad casinos on every street.",anyone can speculate on the myriad economic issues that are destroying this country.,"because jason is recovering from a stroke, he has myriad prescriptions to take.",the priest urged everyone to thank god for the myriad blessings in their lives.
enigma,"(n) puzzle, mystery, riddle; mysterious or contradictory person","sadly, the little girl’s disappearance continues to be an enigma.","for years, my distant mother-in-law has been an enigma to me.",the reclusive millionaire was an enigma to everyone in our town.,"to the new detective, the motive of the crime was an enigma.",even the psychiatrist found her patient’s behavior to be something of an enigma.
deride,treat or speak of with contempt.,the movie critic took every opportunity to deride the a-list actor for making the awful film.,"when i am a parent, i will not deride my children and make them feel worthless.","if the police do not intervene, the fans of the winning team will deride the losing players as they leave the arena.",bullies are individuals who deride other people in order to feel superior.,"because the book was written so poorly, the critic had no choice but to deride the book’s author in the review."
temerity,fearless daring.,we were shocked ann marie had the temerity to challenge our teacher’s authority in class.,"because they feel their doctors are more educated than they are, most patients do not have the temerity to challenge their medical diagnosis.","despite being ordered to stay away from his wife by the court, jason still had the temerity to go to her apartment.",misbehaved children have the temerity to challenge rules.,"after he had the temerity to dispute the company’s policies, ed was forced to resign from his position as company treasurer."
ephemeral,lasting a very short time.,"unlike graffiti, sidewalk chalk art is ephemeral because it will wash away in the rain.","because of her ephemeral memory, she forgets things all the time!","the thunderstorm was ephemeral, starting suddenly and gone within seconds.",did you know that bees have an ephemeral 5 week lifespan?,an ephemeral stay in the waiting room was a nice treat compared to my usual long waits.
provident,careful in regard to your own interests; providing carefully for the future.,my financier told me that i needed to be more provident when it came to my spending.,the provident man set aside money to buy a car with cash.,"if i wasn’t as provident as i am, i would have been homeless when i lost my job.",the provident couple attended a seminar on how to budget their income.,"after i racked up credit card debt, i realized i needed to be more provident with my money."
elucidate,make clearer and easier to understand.,"to make life easy for my math students, i go out of my way to elucidate the complex problems before each test.",an interpreter will elucidate the instructions for all non-english speaking guests.,"since larry had a stroke, he has been unable to elucidate his thoughts verbally.",i hope my review will elucidate the strengths and weaknesses i found in your novel.,"after i am dead, my diaries will elucidate my life for those left behind by my passing."
pugnacious,eager to fight or argue; verbally combative.,the pugnacious little boy constantly talks back to his mother.,john’s pugnacious behavior causes him to have few friends.,"while my twin sister is quite pugnacious, i prefer to avoid confrontations.","of course, i would prefer a docile pet over a pugnacious one any day!","unfortunately, harriet becomes pugnacious after only a few drinks."
mordant,"biting and caustic in thought, manner, or style.",the mordant mother often used harsh words that made her son cry.,"when the mordant president entered the boardroom, all of his vice-presidents readied for his sarcastic attacks.",the mordant news anchor lost his job after he made racist jokes on television.,"before i face my mordant mother-in-law at dinner, i must brace myself for her abrasive comments about my cooking.",the mordant comedian offended many people with his scathing taunts.
incorporate,make into a whole or make part of a whole,"in order to provide a complete report, henry and his staff incorporate the graphs and charts into the written text.",always incorporate both proper nouns and action verbs into a fictional story so that it will be seem more realistic.,"according to culinary guidelines, a chef should never incorporate cheese into a fish dish.","while tutoring a foreign student, i try to incorporate as many slang words as possible so she fully understands how americans speak.","in order to make the neighbors feel welcome, i would incorporate a few tidbits of information about their hometown into our conversations."
forthcoming,available when required or as promised.,the author’s forthcoming novel will be released next month.,"once the investigation is complete, additional charges against the suspect will be forthcoming.",the singer’s forthcoming album will feature many of her own songs.,so many people are upset about the jury’s verdict that the police chief predicts riots will be forthcoming.,"with the wedding forthcoming in a week, the bride is becoming nervous about her big day."
predilection,a strong liking.,her predilection for chocolate-covered roaches is so weird!,gregory goes out to watch birds daily so i assume he has a predilection for the hobby.,"when the repeat offender stood in front of the court, the judge asked him if he had a predilection for getting into trouble.","since she has a sizable art collection, her predilection for art is apparent.",george’s predilection for his alma mater’s football team made him hate other college teams.
attenuate,to weaken (in terms of intensity); to taper off/become thinner.,doctors claim taking the flu vaccine will attenuate the effects of the illness.,the doctor suggested i take acetaminophen to attenuate my fever.,jack sleeps with his headphones on to attenuate the nightly noise that comes from his neighbor’s house.,"in the classroom, educators often try to attenuate conflicts by separating the students.",leaders from countries all over the world meet at the united nations to attenuate hostility between nations.
impede,be a hindrance or obstacle to.,"if you do not eat while you are sick, the lack of nutrients will impede your recovery.",the purpose of the barrier is to impede entry into the museum to prevent overcrowding at the exhibits.,"because i do not want to impede your efforts on this project, i will step away and let someone else handle this difficult task.",the new beverage laws are designed to impede the actions of people who drive under the influence of alcohol.,"by reducing tax credits, the local government hopes to impede the building of new homes in the overcrowded town."
anoint,"(v) rub or sprinkle oil on; make sacred, such as by ceremony that includes applying oil to someone","using holy oil, the pastor placed his hands on the woman’s head in order to anoint her.",a ceremonial process using oil and water was used to anoint the congregation’s newest priest.,"because he did not meet the requirements for religious service, the clergymen decided not to anoint the monk with holy oil religiously.",most searched words (with,
ploy,a clever plan to turn a situation to one's advantage.,the store used a bait and switch ploy to get customers to buy a more expensive item.,"if the prosecutor’s ploy does not work, a guilty man could go free.",the lender’s ploy is to offer you more money than requested while downplaying the increased rate of interest.,"although janice may fall for your romantic ploy and forgive you this time, it does not mean she will allow you to cheat on her again.",my daughter attempts to use the divide and conquer ploy to get something from her father when she cannot get it from me.
spendthrift,one who spends money extravagantly.,"because the lottery winner was a spendthrift, he spent his winnings in less than a year.",the heiress is a spendthrift who once paid half a million dollars for a pair of shoes.,"since my brother is a spendthrift, i must remind him to pay his bills before he goes shopping for clothes.",my mother can’t be a spendthrift because she debates every purchase and never spends irresponsibly.,"although jake recently filed for bankruptcy, he’s still acting like a spendthrift and shopping unnecessarily."
melee,"a wild, confusing fight or struggle.",i hate to go shopping during the holiday season because it feels like a melee with everyone pushing and shoving in the aisles.,"a wild melee broke out in the lunchroom, with kids throwing water bottles and lunch boxes at each other.","a melee between both teams ensued, and the coaches could do nothing to stop the crazy fighting.","oscar received a blow to his head during the melee on the basketball court, and he was rushed to the hospital by ambulance.","a melee between both teams ensued, and the coaches could do nothing to stop the crazy fighting."
incongruous,lacking in harmony or compatibility or appropriateness.,how incongruous of a fat doctor telling me to lose weight!,"considering the ruthless actions of his past, oliver’s unexpected friendly attitude is awfully incongruous.",there's something incongruous about eating dessert before the main course.,try mixing water and oil and you will see an incongruous blend.,i do not believe your story because the statement you gave yesterday is incongruous to a witness's statement.
charlatan,a flamboyant deceiver; one who attracts customers with tricks or jokes.,the charlatan pretended to be a doctor so he could go into the hospital and steal prescription drugs.,"after the charlatan tricked janet out of her life savings, he became wanted by the police.",the charlatan tried to deceive people into thinking he was a minister collecting donations for the poor.,"when the charlatan used the disguise of a police officer to rob senior citizens, real law enforcement agents were enraged.",the charlatan lied when he promised the trustworthy couple he could help them find an affordable home in the city.
sacrosanct,"(adj) sacred, inviolable, not to be trespassed on or violated; above any criticism",the award-winning filmmaker felt his movies were too sacrosanct to be criticized by the media.,how dare you write in something as sacrosanct as a bible?,"to many, the minister of our church is a sacrosanct individual who should never be criticized.","after the builder learned the land he had purchased was once a graveyard, he decided to not build his apartment complex on sacrosanct ground.",woodland hills cemetery is sacrosanct and cannot be moved to another plot of land because of the large number of deceased soldiers who are buried there.
morose,ill-tempered and not inclined to talk; gloomy.,"when her dog died, the little girl was morose for months.",the funny movie was exactly what i needed to improve my morose mood.,"after their team lost the basketball game, the disappointed fans looked morose.","not surprisingly, his funeral was a morose event which left all the guests in tears.","despite his morose outlook on marriage, steven was still able to make a great speech during the wedding reception."
irascible,quickly aroused to anger.,it does not take much to aggravate my irascible neighbor who is annoyed by any little noise.,"because charles is very irascible, you have to be mindful of what you say to him.","while jill’s husband, jack, is irascible, jill is always calm and relaxed.",bill’s dog is irascible and has to be kept on a leash at all times.,"after my sister got dumped by her boyfriend, she was irascible all the time."
cardinal,of primary importance; fundamental.,the therapist addressed the cardinal rule of marriage which is to always compromise on issues and once that is accomplished everything else will fall into place.,"in a town in italy, having litter-free land is a cardinal law due to the number of environmentalists who live there.",the cardinal belief for many law enforcement officials is to always be aware of your surroundings in case a weapon is pulled on you.,"the judge explained, “the cardinal action for any plaintiff in a lawsuit is to bring evidence to court.”",even the cardinal belief with the nonprofit organization to help others in a time of crisis seemed to be overlooked which resulted in people feeling animosity towards the charity.
plethora,extreme excess,i don't see why my mother wants more shoes when she already has a plethora of them.,he eagerly accepted the job because it came with a plethora of opportunities.,"even though the store claimed to have a plethora of bargains, my mother and i were unable to find a good deal.","despite the plethora of movies offered by the video store, jason always rents the same movie over and over again.","because the restaurant staff accidentally created a plethora of food, many diners received free meals."
abeyance,temporary cessation or suspension,"immediately following the terrorist attack, pilots had to observe a period of abeyance where they could not depart from the airport.","once the famine was over, the food rationing dictated by the government was put in abeyance.","until after the murder trial, the inheritance will be placed in abeyance.",trading on the stock market has temporarily been put in abeyance while the trade commission investigates financial misdeeds.,jane’s cancer has returned after being in abeyance for nearly two years.
staunch,firm and dependable especially in loyalty.,"as a caring physician, jim is a staunch believer in patient rights.","because alice is a staunch fan of sarah wittier’s writing, she has read all of wittier’s books.",since the two countries are staunch allies it is not surprising they will work together in the war to defeat their shared enemy.,laura is a staunch supporter of the pro-life movement because she feels abortions are a sin against god.,the political candidate lost the favor of many voters when he announced he was a staunch advocate of the war that had been going on for years.
amuck,in a frenzied or uncontrolled state.,"because his parents do not discipline him, the wild toddler is free to run amuck all over the house.","the board was too afraid of the spend-happy ceo to put a stop to him, so the uncontrollable leader continued to run amuck.","when the night club caught on fire, the frantic patrons ran amuck in search of an exit.",most searched words (with,
supplant,take the place or move into the position of.,"if my stepmother thinks she can supplant my real mother, then she has a rude awakening in her future!",a text message cannot supplant an actual phone call because it is incapable of expressing emotion.,"because the dictator was afraid his enemies might supplant him, he decided to kill all of his rivals.",the army is here to support the local police not to supplant its position as a body of authority.,"even though virtual schools are becoming popular, there is nothing that can supplant a teacher’s physical presence in a classroom."
indignant,feeling anger over a perceived injustice.,"if i’m indignant, it’s because you threw that book at me!",the woman was indignant about the way she had been treated by the rude clerk.,"because the teacher accused him of cheating, the boy became indignant and walked out of the classroom.","indignant at the waste of the company’s resources, the financial director cut the supply budget by sixty percent.","whenever his favorite television channel went black, henry did not hesitate to send an indignant email to his cable company."
proponent,a person who pleads for a cause or propounds an idea.,"because april loves animals, she is a fierce proponent of the animal rights movement.",marie is such a proponent of water conservation that she only takes a shower once a week.,"although the billionaire claims to be a big proponent of aids research, he has not donated a single dollar to any of the research programs.",mark became a proponent of prison reform after being incarcerated for several years.,"as a proponent of domestic adoptions, i urge all prospective parents to adopt children within their own borders."
illustrious,widely known and esteemed; having or conferring glory Einstein was possibly the most illustrious scientist in recent history.,the leader of the country will recognize the illustrious scientist in a private ceremony.,"as a member of an illustrious family of doctors, john is considered to be one of the city’s most eligible bachelors.",the hollywood cemetery is filled with the remains of some of the entertainment world’s most illustrious celebrities.,"because sarah has never made a grade lower than an a, her teachers voted her the most illustrious member of the senior class.","tom’s illustrious ancestors include a prizewinning author, an olympic athlete, and a celebrated journalist."
malady,a disease or sickness.,"because she is a hypochondriac, my sister has one malady after another.",her respiratory malady required her to carry oxygen with her wherever she went.,"after the surgery, my physical malady should not bother me anymore.",jane created a fake malady so she would not have to go to work.,"although the soccer player’s malady kept him out of the game, he still sat on the sidelines and cheered on his team."
empiricism,"any method that derives knowledge from experience, used in experimental science as a way to gain insight and knowledge.",the expert’s sense of empiricism stemmed from years of personal experience.,empiricism does not rely solely on facts and statistics.,"because he believed in empiricism, he was looking for answers during his testing of theories.",people who follow empiricism believe in experiential knowledge.,following empiricism meant he was not interested in the scientific method.
occlude,block passage through,the police officers have blocked off the road to occlude the bomb from the public.,"although i do not want you inside of my office, i will not occlude your entry by locking the door while i am away.",it is quite dangerous when blood clots occlude the flow of oxygen in the human body.,"since i do not like people looking inside of my home, i use blinds to occlude my windows.","fortunately, the city construction project will not occlude the main highway and cause traffic delays."
rash,"marked by defiant disregard for danger or consequences; imprudently incurring risk Although Bruce was able to make the delivery in time with a nightime motorcycle ride in the rain, Susan.",the boy acted in a rash manner and didn’t consider the consequences of driving under the influence.,"because of tim’s rash behavior, he’ll be in prison for the next twenty years.",this should not be a rash decision so take your time and think over your options.,"if you judge someone solely on appearance, you’re making a rash judgment because you know nothing about the person.",john made a rash decision and purchased a used vehicle without having it inspected.
deferential,showing respect.,people were always deferential to the military veteran and showed him respect every time he was in uniform.,the toddler’s deferential manners were reinforced by her mother who taught her always to be both humble and respectful.,"polite and deferential, the courteous wedding invitation oozed with graciousness from the bride and groom.",most searched words (with,
table,"(v) lay aside to discuss later, often as a way to postpone discussion indefinitely",the child placed his plate on the top of the table and sat down in a chair to eat his meal.,wanda bought a rectangular table with a flat surface that she can place her puzzles on.,"before school starts, joe and jeanie will buy a small table for their children to sit at and do their homework.",most searched words (with,
extenuating,making less guilty or more forgivable.,the court reduced the criminal’s sentence because of extenuating circumstances.,"when reviewing applications, the college admissions board takes into account extenuating factors such as economic background and race.","under extenuating conditions, even the strictest professor will allow a student to turn in late work.",there are no extenuating factors which would ever make me forgive you for cheating on me!,"while there may be extenuating circumstances, there is no excuse for murder."
digression,a message that departs from the main subject,the fight between the two students was an unwelcome digression in the teacher’s organized classroom.,"when the fiction author wrote a biography on his favorite actor, he took a literary digression from his usual genre.",the elderly professor would sometimes make a digression and talk about his wife’s flowerbeds instead of physics.,"during my speech, i made a digression and went off topic.",playing football during the winter was a digression for the baseball star.
admonish,"to warn strongly, even to the point of reprimanding.","because my kids were running around the store, knocking over merchandise, i had to admonish them.","finally, drew had to admonish his employees to arrive on time for work, warning them of the consequences if they arrived late tomorrow.",the teacher had to admonish the student who talked out of turn during the lesson.,"as a daycare worker, i regularly have to admonish those who do not follow the rules.",doctors admonish us to wash our hands constantly to avoid catching the virus.
lucid,(of language) transparently clear; easily understandable.,"because the medicine made lisa drowsy, she was not very lucid.","even though he was drunk, henry insisted he was lucid and capable of driving home.","after staying up for twenty hours, i was far from lucid.","when a person’s temperature gets too high, he or she may not be lucid and may have difficulty thinking.",i was so stressed out after a hard day’s work that i was not lucid by any means.
betray,"to reveal or make known something, usually unintentionally.","harry decided to betray his country and spy for the enemy, despite all that america had done for him.",the soldiers dismissed the idea that their commander would betray them to the enemy.,"after being offered a million dollars to betray his country, eric agreed to spy for russia.","once the story broke that the head of the cia had elected to betray his country, pandemonium broke loose within the ranks of government.","mark took a solemn oath upon entering the army that he would never betray his country, even under duress."
splenetic,very irritable.,"because my uncle has a splenetic personality, it does not take a great deal to get on his bad side.",matt was splenetic after his wife left him for another man.,"when the workers learned their paychecks would be delayed, they displayed their splenetic natures by breaking the accountant’s door.","unfortunately, ginger’s headache put her in a bad mood and caused her to be splenetic with her family.",the splenetic chef threw a knife at the food critic who wrote a bad review of his signature dish.
rustic,characteristic of rural life; awkwardly simple and provincial.,the rustic cabin was filled with hand carved furniture.,"since rebecca has a rural upbringing, she is planning a rustic wedding in the mountains.",the restaurant has a rustic charm that reminds me of my grandmother’s kitchen.,"although the rustic table is wobbly from age, it is still one of my favorite family heirlooms.",the rustic painting looks out of place in the modern hotel room.
apathetic,marked by a lack of interest.,"because jane was apathetic about completing her schoolwork, she did not graduate on time.","because the diva thought she was better than everyone else, she was apathetic about having others wait on her.","although james was apathetic about his classes, he loved playing football.","to get on the jury, you will need to be apathetic about the murder.","in the 1970’s, many people were apathetic about marriage and had little interest in settling down."
clinch,(v) make final or settle conclusively; to fasten or hold together,the senate must work quickly and together in order to clinch the budget deal to avoid a government shutdown.,most searched words (with,,,
net,"(adj, v) remaining after expenses or other factors have been deducted; ultimate (adj); to bring in as profit or to catch as in a net (verb)","positioning the net in the water, the fisherman prepared to catch a fish with one swift swoop.","kicking the ball into the mesh net, the soccer player and his team members began to jump for joy!",a net was used by spongebob and his friends to capture jellyfish swimming along in bikini bottom.,"shooting into the webbed net, the player heard a swish as the ball made contact.","using a net to trap his prey, the hunter hopped that the lattice interlock would be strong enough to hold whatever he might catch."
deterrent,something immaterial that interferes with action or progress,my daughter views the loss of cellphone privileges as a cruel deterrent against having bad grades.,"when i saw the security guard in the store, i knew he was there as a theft deterrent.",the stop sign on the corner is supposed to be a deterrent that discourages speeding.,is a guard dog a good deterrent against home invasions?,detention acts as a deterrent for students who would otherwise misbehave at school.
